source_account_id,source_customer_id,customer_link_type,customer_link_key,id_number,passport_number,country_of_birth,bank_name,bank_code,branch_name,account_number,account_type,account_currency,account_status,account_age_months,opened_date,account_balance,monthly_deposits,monthly_withdrawals,overdraft_limit,mobile_banking_enabled
SRC-ACCT-000035,CUST-000035,id_number,id_number:9705150035035,9705150035035,,South Africa,ABSA,ABSZ,Durban Branch,ABSZ0000000035,transactional,ZAR,active,110,2017-06-23,7330.66,1349.71,1079.64,0.0,True
SRC-ACCT-000036,CUST-000036,passport_number,passport_number:P00000036,,P00000036,Zimbabwe,FBC Bank,FBCZ,Queenstown Branch,FBCZ0000000036,cash_management,USD,active,234,2007-04-17,57950.51,12290.46,5578.68,5277.8,True
SRC-ACCT-000037,CUST-000037,id_number,id_number:7305250037037,7305250037037,,South Africa,ABSA,ABSZ,Johannesburg Branch,ABSZ0000000037,transactional,ZAR,dormant,126,2016-02-29,27960.18,8874.63,4815.39,0.0,True
SRC-ACCT-000038,CUST-000038,id_number,id_number:6306220038038,6306220038038,,South Africa,FNB,FNBZ,Kuruman Branch,FNBZ0000000038,cash_management,ZAR,active,145,2014-08-08,212635.02,69496.68,35310.1,34411.17,True
SRC-ACCT-000039,CUST-000039,id_number,id_number:9402040039039,9402040039039,,South Africa,Capitec,CPTC,Welkom Branch,CPTC0000000039,premium_current,ZAR,dormant,123,2016-05-29,27354.22,7688.23,3901.01,5528.83,True
SRC-ACCT-000040,CUST-000040,id_number,id_number:7207180040040,7207180040040,,South Africa,Capitec,CPTC,Makhado Branch,CPTC0000000040,premium_current,ZAR,restricted,20,2024-11-13,24957.96,15292.6,10538.94,5645.43,True
SRC-ACCT-000041,CUST-000041,id_number,id_number:8103120041041,8103120041041,,South Africa,ABSA,ABSZ,Potchefstroom Branch,ABSZ0000000041,cash_management,ZAR,active,170,2012-07-19,3300.41,655.89,578.14,422.29,True
SRC-ACCT-000042,CUST-000042,passport_number,passport_number:P00000042,,P00000042,Botswana,Standard Chartered Botswana,SCBZ,Middelburg Branch,SCBZ0000000042,cash_management,BWP,active,93,2018-11-15,3425.86,540.81,443.8,526.84,True
SRC-ACCT-000043,CUST-000043,id_number,id_number:8605250043043,8605250043043,,South Africa,Standard Bank,SBZA,Witbank Branch,SBZA0000000043,cash_management,ZAR,dormant,147,2014-06-09,110546.74,64937.89,49754.9,8650.03,True
SRC-ACCT-000044,CUST-000044,id_number,id_number:8912170044044,8912170044044,,South Africa,Nedbank,NEDZ,Mahikeng Branch,NEDZ0000000044,premium_current,ZAR,active,230,2007-08-15,2437.68,668.14,443.23,440.79,True
SRC-ACCT-000045,CUST-000045,id_number,id_number:9309140045045,9309140045045,,South Africa,Capitec,CPTC,Kimberley Branch,CPTC0000000045,premium_current,ZAR,closed,102,2018-02-18,2764.18,748.08,685.5,292.54,True
SRC-ACCT-000046,CUST-000046,id_number,id_number:0704020046046,0704020046046,,South Africa,Nedbank,NEDZ,East London Branch,NEDZ0000000046,transactional,ZAR,active,188,2011-01-26,85581.3,28060.89,20371.2,0.0,True
SRC-ACCT-000047,CUST-000047,passport_number,passport_number:P00000047,,P00000047,Botswana,First National Bank Botswana,FNBB,Bloemfontein Branch,FNBB0000000047,transactional,BWP,active,76,2020-04-08,75835.13,27771.11,20420.92,0.0,True
SRC-ACCT-000048,CUST-000048,passport_number,passport_number:P00000048,,P00000048,Namibia,FNB Namibia,FNNM,George Branch,FNNM0000000048,transactional,NAD,restricted,25,2024-06-16,18106.72,3234.5,2964.86,0.0,True
SRC-ACCT-000049,CUST-000049,passport_number,passport_number:P00000049,,P00000049,Eswatini,Nedbank Eswatini,NEDE,Polokwane Branch,NEDE0000000049,transactional,SZL,dormant,197,2010-05-01,109807.5,59730.47,38968.35,0.0,True
SRC-ACCT-000050,CUST-000050,id_number,id_number:9804260050050,9804260050050,,South Africa,Standard Bank,SBZA,Kroonstad Branch,SBZA0000000050,cash_management,ZAR,dormant,143,2014-10-07,17030.99,5886.04,3190.35,2189.53,True
SRC-ACCT-000051,CUST-000051,passport_number,passport_number:P00000051,,P00000051,Zimbabwe,FBC Bank,FBCZ,Brits Branch,FBCZ0000000051,premium_current,USD,active,208,2009-06-05,14685.78,4928.79,1940.55,2619.08,True
SRC-ACCT-000052,CUST-000052,id_number,id_number:7608060052052,7608060052052,,South Africa,Standard Bank,SBZA,Kroonstad Branch,SBZA0000000052,cash_management,ZAR,active,159,2013-06-14,25711.5,13813.24,9752.11,4549.74,True
SRC-ACCT-000053,CUST-000053,id_number,id_number:9507180053053,9507180053053,,South Africa,ABSA,ABSZ,Johannesburg Branch,ABSZ0000000053,premium_current,ZAR,active,223,2008-03-12,139583.38,90562.88,64664.71,19122.77,True
SRC-ACCT-000054,CUST-000054,id_number,id_number:0011200054054,0011200054054,,South Africa,Standard Bank,SBZA,Thohoyandou Branch,SBZA0000000054,cash_management,ZAR,active,22,2024-09-14,5347.68,2120.55,793.99,1025.39,True
SRC-ACCT-000055,CUST-000055,id_number,id_number:9412130055055,9412130055055,,South Africa,ABSA,ABSZ,Kuruman Branch,ABSZ0000000055,premium_current,ZAR,active,201,2010-01-01,2490.7,1169.5,451.38,615.68,False
SRC-ACCT-000056,CUST-000056,id_number,id_number:5605260056056,5605260056056,,South Africa,FNB,FNBZ,Welkom Branch,FNBZ0000000056,transactional,ZAR,active,240,2006-10-19,6405.93,2361.81,1433.78,0.0,True
SRC-ACCT-000057,CUST-000057,id_number,id_number:5602130057057,5602130057057,,South Africa,Nedbank,NEDZ,Rustenburg Branch,NEDZ0000000057,transactional,ZAR,dormant,138,2015-03-06,7419.59,2313.97,1842.48,0.0,True
SRC-ACCT-000058,CUST-000058,id_number,id_number:6202190058058,6202190058058,,South Africa,Nedbank,NEDZ,Grahamstown Branch,NEDZ0000000058,premium_current,ZAR,active,180,2011-09-23,187499.99,78617.86,29834.78,14869.79,True
SRC-ACCT-000059,CUST-000059,id_number,id_number:6005300059059,6005300059059,,South Africa,Standard Bank,SBZA,Mthatha Branch,SBZA0000000059,cash_management,ZAR,active,108,2017-08-22,1036.0,979.79,800.63,223.22,True
SRC-ACCT-000060,CUST-000060,id_number,id_number:7204110060060,7204110060060,,South Africa,ABSA,ABSZ,Sasolburg Branch,ABSZ0000000060,cash_management,ZAR,active,30,2024-01-18,5697.75,2590.16,1944.23,1060.45,True
SRC-ACCT-000061,CUST-000061,id_number,id_number:7505050061061,7505050061061,,South Africa,Standard Bank,SBZA,Cape Town Branch,SBZA0000000061,savings,ZAR,active,147,2014-06-09,5703.19,4913.86,4290.58,0.0,True
SRC-ACCT-000062,CUST-000062,id_number,id_number:8708150062062,8708150062062,,South Africa,Standard Bank,SBZA,Kuruman Branch,SBZA0000000062,cash_management,ZAR,active,111,2017-05-24,4797.96,2731.01,2006.01,562.41,True
SRC-ACCT-000063,CUST-000063,id_number,id_number:0302110063063,0302110063063,,South Africa,Standard Bank,SBZA,Soweto Branch,SBZA0000000063,transactional,ZAR,active,221,2008-05-11,17966.66,12827.61,7717.82,0.0,True
SRC-ACCT-000064,CUST-000064,passport_number,passport_number:P00000064,,P00000064,Zimbabwe,FBC Bank,FBCZ,Paarl Branch,FBCZ0000000064,transactional,USD,active,80,2019-12-10,169815.16,37748.01,28703.16,0.0,True
SRC-ACCT-000065,CUST-000065,passport_number,passport_number:P00000065,,P00000065,Namibia,FNB Namibia,FNNM,Kimberley Branch,FNNM0000000065,premium_current,NAD,active,166,2012-11-16,150874.54,43173.32,39115.64,37285.28,True
SRC-ACCT-000066,CUST-000066,id_number,id_number:9212150066066,9212150066066,,South Africa,ABSA,ABSZ,Pretoria Branch,ABSZ0000000066,cash_management,ZAR,active,24,2024-07-16,54047.46,12571.22,5000.24,6759.39,True
SRC-ACCT-000067,CUST-000067,id_number,id_number:9412300067067,9412300067067,,South Africa,ABSA,ABSZ,Centurion Branch,ABSZ0000000067,savings,ZAR,dormant,183,2011-06-25,895.45,351.31,159.57,0.0,True
SRC-ACCT-000068,CUST-000068,id_number,id_number:6504280068068,6504280068068,,South Africa,Standard Bank,SBZA,Kroonstad Branch,SBZA0000000068,transactional,ZAR,dormant,189,2010-12-27,97487.96,17461.22,13316.32,0.0,False
SRC-ACCT-000069,CUST-000069,id_number,id_number:9702080069069,9702080069069,,South Africa,Capitec,CPTC,George Branch,CPTC0000000069,cash_management,ZAR,dormant,191,2010-10-28,23448.34,6498.19,4475.36,2082.83,True
SRC-ACCT-000070,CUST-000070,id_number,id_number:0403010070070,0403010070070,,South Africa,Nedbank,NEDZ,Mahikeng Branch,NEDZ0000000070,transactional,ZAR,active,130,2015-11-01,7173.61,2598.35,2311.69,0.0,True
SRC-ACCT-000071,CUST-000071,id_number,id_number:0210220071071,0210220071071,,South Africa,Capitec,CPTC,Queenstown Branch,CPTC0000000071,savings,ZAR,active,116,2016-12-25,2122.44,398.03,274.94,0.0,True
SRC-ACCT-000072,CUST-000072,id_number,id_number:6211010072072,6211010072072,,South Africa,FNB,FNBZ,Polokwane Branch,FNBZ0000000072,savings,ZAR,restricted,113,2017-03-25,10005.16,6792.32,3485.7,0.0,True
SRC-ACCT-000073,CUST-000073,id_number,id_number:7504150073073,7504150073073,,South Africa,Nedbank,NEDZ,Mbombela Branch,NEDZ0000000073,transactional,ZAR,restricted,55,2021-12-29,1895.07,740.99,394.19,0.0,True
SRC-ACCT-000074,CUST-000074,id_number,id_number:0611260074074,0611260074074,,South Africa,Standard Bank,SBZA,Mthatha Branch,SBZA0000000074,transactional,ZAR,closed,184,2011-05-26,3158.64,665.96,304.91,0.0,True
SRC-ACCT-000075,CUST-000075,id_number,id_number:8008110075075,8008110075075,,South Africa,Standard Bank,SBZA,Bethlehem Branch,SBZA0000000075,cash_management,ZAR,active,215,2008-11-07,23561.96,14718.18,10951.77,2853.64,True
SRC-ACCT-000076,CUST-000076,id_number,id_number:0702080076076,0702080076076,,South Africa,Standard Bank,SBZA,Brits Branch,SBZA0000000076,transactional,ZAR,active,78,2020-02-08,95047.9,34156.31,13875.71,0.0,True
SRC-ACCT-000077,CUST-000077,passport_number,passport_number:P00000077,,P00000077,Eswatini,Nedbank Eswatini,NEDE,Paarl Branch,NEDE0000000077,savings,SZL,restricted,74,2020-06-07,32325.44,9355.11,7552.27,0.0,True
SRC-ACCT-000078,CUST-000078,id_number,id_number:9411100078078,9411100078078,,South Africa,Capitec,CPTC,Queenstown Branch,CPTC0000000078,premium_current,ZAR,active,141,2014-12-06,82599.04,72232.97,57139.88,16078.93,True
SRC-ACCT-000079,CUST-000079,id_number,id_number:9601270079079,9601270079079,,South Africa,Nedbank,NEDZ,Grahamstown Branch,NEDZ0000000079,premium_current,ZAR,dormant,128,2015-12-31,32563.67,9756.26,5204.01,4538.65,True
SRC-ACCT-000080,CUST-000080,id_number,id_number:5407030080080,5407030080080,,South Africa,Standard Bank,SBZA,Tzaneen Branch,SBZA0000000080,transactional,ZAR,active,135,2015-06-04,89507.79,17903.8,15169.41,0.0,True
SRC-ACCT-000081,CUST-000081,id_number,id_number:7512170081081,7512170081081,,South Africa,FNB,FNBZ,Sasolburg Branch,FNBZ0000000081,transactional,ZAR,closed,44,2022-11-24,203405.44,43177.13,22451.92,0.0,True
SRC-ACCT-000082,CUST-000082,id_number,id_number:8703010082082,8703010082082,,South Africa,ABSA,ABSZ,Springbok Branch,ABSZ0000000082,savings,ZAR,active,82,2019-10-11,23200.41,6763.03,2846.94,0.0,True
SRC-ACCT-000083,CUST-000083,passport_number,passport_number:P00000083,,P00000083,Botswana,Standard Chartered Botswana,SCBZ,Queenstown Branch,SCBZ0000000083,transactional,BWP,active,24,2024-07-16,16440.81,4101.67,3456.53,0.0,True
SRC-ACCT-000084,CUST-000084,id_number,id_number:8802210084084,8802210084084,,South Africa,Standard Bank,SBZA,Durban Branch,SBZA0000000084,cash_management,ZAR,restricted,209,2009-05-06,238990.98,69199.81,52649.22,26915.99,True
SRC-ACCT-000085,CUST-000085,passport_number,passport_number:P00000085,,P00000085,Lesotho,Nedbank Lesotho,NEDL,Newcastle Branch,NEDL0000000085,premium_current,LSL,active,191,2010-10-28,51061.47,14816.99,7044.9,8406.84,True
SRC-ACCT-000086,CUST-000086,id_number,id_number:9105280086086,9105280086086,,South Africa,ABSA,ABSZ,Polokwane Branch,ABSZ0000000086,savings,ZAR,closed,67,2021-01-03,38503.48,8609.76,6281.11,0.0,True
SRC-ACCT-000087,CUST-000087,id_number,id_number:5909250087087,5909250087087,,South Africa,FNB,FNBZ,Johannesburg Branch,FNBZ0000000087,premium_current,ZAR,dormant,117,2016-11-25,7156.85,3367.4,2718.61,495.61,True
SRC-ACCT-000088,CUST-000088,id_number,id_number:7205300088088,7205300088088,,South Africa,Capitec,CPTC,Umhlanga Branch,CPTC0000000088,premium_current,ZAR,active,25,2024-06-16,1306.07,701.16,391.11,116.07,True
SRC-ACCT-000089,CUST-000089,id_number,id_number:6305020089089,6305020089089,,South Africa,FNB,FNBZ,Tzaneen Branch,FNBZ0000000089,premium_current,ZAR,active,144,2014-09-07,35222.55,9867.27,8583.37,3299.7,True
SRC-ACCT-000090,CUST-000090,id_number,id_number:8312280090090,8312280090090,,South Africa,Standard Bank,SBZA,Paarl Branch,SBZA0000000090,transactional,ZAR,active,84,2019-08-12,41277.41,8379.47,4777.8,0.0,True
SRC-ACCT-000091,CUST-000091,id_number,id_number:8707170091091,8707170091091,,South Africa,Capitec,CPTC,Paarl Branch,CPTC0000000091,transactional,ZAR,dormant,183,2011-06-25,126353.77,61806.83,35538.31,0.0,True
SRC-ACCT-000092,CUST-000092,id_number,id_number:0401100092092,0401100092092,,South Africa,FNB,FNBZ,Thohoyandou Branch,FNBZ0000000092,savings,ZAR,closed,61,2021-07-02,155816.71,37171.1,25162.56,0.0,True
SRC-ACCT-000093,CUST-000093,id_number,id_number:0012210093093,0012210093093,,South Africa,Nedbank,NEDZ,Middelburg Branch,NEDZ0000000093,transactional,ZAR,restricted,239,2006-11-18,8987.14,5793.85,2867.88,0.0,False
SRC-ACCT-000094,CUST-000094,id_number,id_number:8502020094094,8502020094094,,South Africa,Nedbank,NEDZ,Rustenburg Branch,NEDZ0000000094,transactional,ZAR,active,39,2023-04-23,94399.21,23749.91,17381.73,0.0,True
SRC-ACCT-000095,CUST-000095,passport_number,passport_number:P00000095,,P00000095,Zimbabwe,Stanbic Bank Zimbabwe,STBZ,Paarl Branch,STBZ0000000095,transactional,USD,active,80,2019-12-10,1872.22,628.22,473.02,0.0,True
SRC-ACCT-000096,CUST-000096,id_number,id_number:0305110096096,0305110096096,,South Africa,FNB,FNBZ,East London Branch,FNBZ0000000096,savings,ZAR,active,141,2014-12-06,5250.18,1745.03,729.28,0.0,True
SRC-ACCT-000097,CUST-000097,id_number,id_number:9001030097097,9001030097097,,South Africa,Capitec,CPTC,Kimberley Branch,CPTC0000000097,transactional,ZAR,active,55,2021-12-29,10527.66,4699.94,4307.26,0.0,True
SRC-ACCT-000098,CUST-000098,passport_number,passport_number:P00000098,,P00000098,Namibia,Standard Bank Namibia,SBZN,Umhlanga Branch,SBZN0000000098,savings,NAD,active,127,2016-01-30,29278.1,6628.69,2704.41,0.0,True
SRC-ACCT-000099,CUST-000099,id_number,id_number:9203170099099,9203170099099,,South Africa,FNB,FNBZ,Richards Bay Branch,FNBZ0000000099,premium_current,ZAR,active,95,2018-09-16,3711.1,646.59,301.06,590.64,True
SRC-ACCT-000100,CUST-000100,id_number,id_number:7512030100000,7512030100000,,South Africa,ABSA,ABSZ,Middelburg Branch,ABSZ0000000100,cash_management,ZAR,active,44,2022-11-24,163140.84,49283.1,35426.57,30604.69,True
SRC-ACCT-000101,CUST-000101,id_number,id_number:0409200101001,0409200101001,,South Africa,ABSA,ABSZ,Springbok Branch,ABSZ0000000101,savings,ZAR,active,182,2011-07-25,5083.28,3986.74,2594.9,0.0,True
SRC-ACCT-000102,CUST-000102,id_number,id_number:8012110102002,8012110102002,,South Africa,Standard Bank,SBZA,Midrand Branch,SBZA0000000102,transactional,ZAR,dormant,236,2007-02-16,2162.05,786.84,690.41,0.0,False
SRC-ACCT-000103,CUST-000103,id_number,id_number:9210030103003,9210030103003,,South Africa,Standard Bank,SBZA,Lephalale Branch,SBZA0000000103,cash_management,ZAR,active,230,2007-08-15,31008.07,7938.14,3249.5,6184.54,True
SRC-ACCT-000104,CUST-000104,id_number,id_number:8312220104004,8312220104004,,South Africa,Capitec,CPTC,Mbombela Branch,CPTC0000000104,transactional,ZAR,active,82,2019-10-11,7282.27,1287.88,698.63,0.0,True
SRC-ACCT-000105,CUST-000105,id_number,id_number:5805120105005,5805120105005,,South Africa,Standard Bank,SBZA,Bellville Branch,SBZA0000000105,transactional,ZAR,active,176,2012-01-21,3845.94,2189.04,1239.01,0.0,True
SRC-ACCT-000106,CUST-000106,id_number,id_number:6701280106006,6701280106006,,South Africa,Standard Bank,SBZA,Durban Branch,SBZA0000000106,premium_current,ZAR,active,119,2016-09-26,28614.61,6172.14,5468.38,5233.74,False
SRC-ACCT-000107,CUST-000107,id_number,id_number:6501190107007,6501190107007,,South Africa,Standard Bank,SBZA,Paarl Branch,SBZA0000000107,premium_current,ZAR,active,171,2012-06-19,3591.45,1227.16,689.05,795.27,True
SRC-ACCT-000108,CUST-000108,id_number,id_number:8408030108008,8408030108008,,South Africa,Nedbank,NEDZ,Cape Town Branch,NEDZ0000000108,cash_management,ZAR,active,73,2020-07-07,109934.45,32504.6,12525.65,25475.86,True
SRC-ACCT-000109,CUST-000109,passport_number,passport_number:P00000109,,P00000109,Namibia,FNB Namibia,FNNM,Durban Branch,FNNM0000000109,cash_management,NAD,active,232,2007-06-16,6743.17,1843.01,1603.01,799.51,True
SRC-ACCT-000110,CUST-000110,id_number,id_number:9010130110010,9010130110010,,South Africa,Nedbank,NEDZ,Kuruman Branch,NEDZ0000000110,transactional,ZAR,active,88,2019-04-14,201691.8,31114.73,19928.26,0.0,True
SRC-ACCT-000111,CUST-000111,passport_number,passport_number:P00000111,,P00000111,Zimbabwe,Stanbic Bank Zimbabwe,STBZ,Polokwane Branch,STBZ0000000111,cash_management,USD,active,135,2015-06-04,8438.62,6854.08,4649.76,1345.21,True
SRC-ACCT-000112,CUST-000112,id_number,id_number:8609030112012,8609030112012,,South Africa,Standard Bank,SBZA,George Branch,SBZA0000000112,premium_current,ZAR,active,43,2022-12-24,7705.25,6535.77,4394.14,1464.75,True
SRC-ACCT-000113,CUST-000113,id_number,id_number:5302220113013,5302220113013,,South Africa,Nedbank,NEDZ,Welkom Branch,NEDZ0000000113,cash_management,ZAR,closed,68,2020-12-04,33566.84,20854.54,17257.9,5307.25,False
SRC-ACCT-000114,CUST-000114,id_number,id_number:9912080114014,9912080114014,,South Africa,Capitec,CPTC,Kimberley Branch,CPTC0000000114,savings,ZAR,active,132,2015-09-02,24338.48,8821.98,5752.98,0.0,False
SRC-ACCT-000115,CUST-000115,id_number,id_number:5506060115015,5506060115015,,South Africa,Standard Bank,SBZA,Tzaneen Branch,SBZA0000000115,savings,ZAR,closed,13,2025-06-11,4173.11,1432.88,848.56,0.0,True
SRC-ACCT-000116,CUST-000116,id_number,id_number:8407050116016,8407050116016,,South Africa,FNB,FNBZ,Klerksdorp Branch,FNBZ0000000116,cash_management,ZAR,dormant,118,2016-10-26,1349.01,739.35,466.86,119.38,True
SRC-ACCT-000117,CUST-000117,id_number,id_number:9408160117017,9408160117017,,South Africa,Nedbank,NEDZ,Kimberley Branch,NEDZ0000000117,premium_current,ZAR,dormant,85,2019-07-13,3970.04,702.72,376.16,889.16,True
